Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created
Angola,2020,May,NA,Min. of Urbanism & Housing,Branca Manuel da Costa Neto do ESPIRITO SANTO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Welfare & Social Reintegration,Joao Baptista KUSSUMUA,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Youth & Sports,Ana Paula Sacramento NETO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,"Min. in the Office of the Presidency, Civil Affairs",Frederico Manuel Dos Santos e Silva CARDOSO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of State for Economic and Social Development,Manuel Jose Nunes JUNIOR,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Sec. of the Council of Ministers,Adao de ALMEIDA,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,"Governor, National Bank of Angola",Jose de Lima MASSANO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Attorney Gen.,Helder Fernando Pitta GROS,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Ambassador to the US,Joaquim do ESPIRITO SANTO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,"Permanent Representative to the UN, New York",Maria de Jesus dos Reis FERREIRA,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Antigua and Barbuda,2020,May,NA,Governor Gen.,Rodney WILLIAMS,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,May,NA,Prime Min.,Gaston BROWNE,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,May,NA,Senior Min.,Lester BIRD,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,May,NA,"Min. of Agriculture, Fisheries, & Barbuda Affairs",Dean JONAS,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,May,NA,"Min. of Education, Science, & Technology",Michael BROWNE,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,May,NA,Min. of Finance & Corporate Governance,Gaston BROWNE,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,May,NA,"Min. of Foreign Affairs, Immigration, & Intl. Trade",Paul GREENE,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,May,NA,"Min. of Health, Wellness, & the Environment",Molwyn JOSEPH,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,May,NA,"Min. of Housing, Lands, & Urban Renewal",Maria BROWNE,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,May,NA,"Min. of Information, Broadcasting, Telecommunications, & Information Technology",Melford NICHOLAS,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,May,NA,"Min. of Legal Affairs, Public Safety, & Labor",Steadroy BENJAMIN,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,May,NA,"Min. of Public Utilities, Civil Aviation, & Energy",Robin YEARWOOD,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,May,NA,Min. of Social Transformation & Human Resource Development,Samantha Nicole MARSHALL,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,May,NA,"Min. of Sports, Culture, National Festivals, & the Arts",Daryll MATHEW,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
